Year,Region,Weapons type
2001,Australasia & Oceania,Incendiary
2001,Australasia & Oceania,Incendiary
2001,Australasia & Oceania,Chemical
2001,Australasia & Oceania,Chemical
2002,Australasia & Oceania,Explosives
2002,Australasia & Oceania,Firearms
2003,Australasia & Oceania,Firearms
2003,Australasia & Oceania,Chemical
2003,Australasia & Oceania,Chemical
2003,Australasia & Oceania,Chemical
2006,Australasia & Oceania,Incendiary
2006,Australasia & Oceania,Other
2007,Australasia & Oceania,Firearms
2008,Australasia & Oceania,Explosives
2008,Australasia & Oceania,Explosives
2008,Australasia & Oceania,Chemical
2008,Australasia & Oceania,Chemical
2008,Australasia & Oceania,Chemical
2008,Australasia & Oceania,Chemical
2008,Australasia & Oceania,Incendiary
2008,Australasia & Oceania,Incendiary
2009,Australasia & Oceania,Explosives
2010,Australasia & Oceania,Firearms
2001,Central America & Caribbean,Explosives
2001,Central America & Caribbean,Explosives
2001,Central America & Caribbean,Explosives
2001,Central America & Caribbean,Explosives
2001,Central America & Caribbean,Firearms
2001,Central America & Caribbean,Firearms
2001,Central America & Caribbean,Incendiary
2001,Central America & Caribbean,Firearms
2002,Central America & Caribbean,Firearms
2002,Central America & Caribbean,Incendiary
2002,Central America & Caribbean,Firearms
2003,Central America & Caribbean,Firearms
2003,Central America & Caribbean,Firearms
2003,Central America & Caribbean,Firearms
2003,Central America & Caribbean,Firearms
2003,Central America & Caribbean,Incendiary
2003,Central America & Caribbean,Incendiary
2003,Central America & Caribbean,Incendiary
2003,Central America & Caribbean,Incendiary
2004,Central America & Caribbean,Firearms
2004,Central America & Caribbean,Firearms
2004,Central America & Caribbean,Firearms
2004,Central America & Caribbean,Firearms
2004,Central America & Caribbean,Firearms
2005,Central America & Caribbean,Explosives
2005,Central America & Caribbean,Explosives
2005,Central America & Caribbean,Firearms
2006,Central America & Caribbean,Firearms
2006,Central America & Caribbean,Firearms
2006,Central America & Caribbean,Firearms
2006,Central America & Caribbean,Firearms
2006,Central America & Caribbean,Firearms
2007,Central America & Caribbean,Firearms
2007,Central America & Caribbean,Firearms
2007,Central America & Caribbean,Firearms
2007,Central America & Caribbean,Firearms
2009,Central America & Caribbean,Firearms
2009,Central America & Caribbean,Explosives
2009,Central America & Caribbean,Explosives
2009,Central America & Caribbean,Explosives
2009,Central America & Caribbean,Explosives
2009,Central America & Caribbean,Explosives
2009,Central America & Caribbean,Explosives
2009,Central America & Caribbean,Explosives
2009,Central America & Caribbean,Explosives
2010,Central America & Caribbean,Incendiary
2011,Central America & Caribbean,Firearms
2012,Central America & Caribbean,Firearms
2001,Central Asia,Explosives
2001,Central Asia,Firearms
2001,Central Asia,Explosives
2001,Central Asia,Firearms
2001,Central Asia,Firearms
2001,Central Asia,Firearms
2001,Central Asia,Firearms
2001,Central Asia,Firearms
2001,Central Asia,Firearms
2001,Central Asia,Firearms
2001,Central Asia,Melee
2001,Central Asia,Explosives
2001,Central Asia,Firearms
2001,Central Asia,Firearms
2001,Central Asia,Firearms
2001,Central Asia,Firearms
2001,Central Asia,Explosives
2001,Central Asia,Firearms
2002,Central Asia,Explosives
2002,Central Asia,Explosives
2002,Central Asia,Firearms
2002,Central Asia,Firearms
2002,Central Asia,Explosives
2002,Central Asia,Firearms
2003,Central Asia,Firearms
2003,Central Asia,Firearms
2003,Central Asia,Explosives
2003,Central Asia,Explosives
2003,Central Asia,Explosives
2003,Central Asia,Firearms
2003,Central Asia,Melee
2004,Central Asia,Explosives
2004,Central Asia,Explosives
2004,Central Asia,Explosives
2004,Central Asia,Explosives
2004,Central Asia,Explosives
2004,Central Asia,Explosives
2004,Central Asia,Firearms
2004,Central Asia,Firearms
2005,Central Asia,Explosives
2005,Central Asia,Explosives
2005,Central Asia,Explosives
2005,Central Asia,Explosives
2005,Central Asia,Fake Weapons
2005,Central Asia,Firearms
2005,Central Asia,Firearms
2005,Central Asia,Unknown
2005,Central Asia,Explosives
2005,Central Asia,Explosives
2005,Central Asia,Explosives
2006,Central Asia,Incendiary
2006,Central Asia,Firearms
2006,Central Asia,Firearms
2006,Central Asia,Explosives
2006,Central Asia,Firearms
2006,Central Asia,Explosives
2007,Central Asia,Melee
2007,Central Asia,Incendiary
2007,Central Asia,Explosives
2007,Central Asia,Explosives
2008,Central Asia,Unknown
2008,Central Asia,Explosives
2008,Central Asia,Explosives
2008,Central Asia,Explosives
2008,Central Asia,Explosives
2008,Central Asia,Explosives
2008,Central Asia,Explosives
2008,Central Asia,Explosives
2008,Central Asia,Firearms
2008,Central Asia,Explosives
2008,Central Asia,Explosives
2008,Central Asia,Explosives
2008,Central Asia,Explosives
2008,Central Asia,Firearms
2008,Central Asia,Explosives
2008,Central Asia,Explosives
2008,Central Asia,Explosives
2008,Central Asia,Explosives
2008,Central Asia,Explosives
2008,Central Asia,Explosives
2008,Central Asia,Firearms
2008,Central Asia,Explosives
2008,Central Asia,Firearms
2008,Central Asia,Firearms
2008,Central Asia,Explosives
2008,Central Asia,Explosives
2008,Central Asia,Firearms
2008,Central Asia,Explosives
2008,Central Asia,Explosives
2008,Central Asia,Explosives
2008,Central Asia,Unknown
2008,Central Asia,Explosives
2008,Central Asia,Explosives
2008,Central Asia,Firearms
2008,Central Asia,Explosives
2008,Central Asia,Firearms
2009,Central Asia,Explosives
2009,Central Asia,Unknown
2009,Central Asia,Unknown
2009,Central Asia,Firearms
2009,Central Asia,Explosives
2009,Central Asia,Explosives
2009,Central Asia,Explosives
2009,Central Asia,Explosives
2009,Central Asia,Firearms
2009,Central Asia,Explosives
2009,Central Asia,Explosives
2009,Central Asia,Explosives
2009,Central Asia,Explosives
2009,Central Asia,Explosives
2009,Central Asia,Firearms
2009,Central Asia,Firearms
2009,Central Asia,Explosives
2009,Central Asia,Explosives
2009,Central Asia,Explosives
2009,Central Asia,Incendiary
2009,Central Asia,Explosives
2009,Central Asia,Explosives
2009,Central Asia,Explosives
2009,Central Asia,Explosives
2009,Central Asia,Explosives
2009,Central Asia,Explosives
2009,Central Asia,Explosives
2009,Central Asia,Explosives
2009,Central Asia,Explosives
2009,Central Asia,Explosives
2009,Central Asia,Explosives
2010,Central Asia,Explosives
2010,Central Asia,Unknown
2010,Central Asia,Explosives
2010,Central Asia,Firearms
2010,Central Asia,Explosives
2010,Central Asia,Explosives
2010,Central Asia,Firearms
2010,Central Asia,Explosives
2010,Central Asia,Explosives
2011,Central Asia,Explosives
2011,Central Asia,Explosives
2011,Central Asia,Explosives
2011,Central Asia,Explosives
2011,Central Asia,Explosives
2011,Central Asia,Explosives
2011,Central Asia,Firearms
2011,Central Asia,Explosives
2011,Central Asia,Explosives
2012,Central Asia,Explosives
2012,Central Asia,Explosives
2012,Central Asia,Firearms
2012,Central Asia,Explosives
2012,Central Asia,Firearms
2012,Central Asia,Incendiary
2012,Central Asia,Melee
2012,Central Asia,Explosives
2012,Central Asia,Firearms
2012,Central Asia,Firearms
2012,Central Asia,Explosives
2012,Central Asia,Firearms
2001,East Asia,Explosives
2001,East Asia,Explosives
2001,East Asia,Explosives
2001,East Asia,Explosives
2001,East Asia,Incendiary
2001,East Asia,Explosives
2001,East Asia,Incendiary
2001,East Asia,Firearms
2001,East Asia,Explosives
2001,East Asia,Incendiary
2001,East Asia,Explosives
2001,East Asia,Explosives
2001,East Asia,Explosives
2001,East Asia,Explosives
2001,East Asia,Explosives
2001,East Asia,Explosives
2001,East Asia,Explosives
2001,East Asia,Explosives
2001,East Asia,Explosives
2002,East Asia,Explosives
2002,East Asia,Melee
2002,East Asia,Explosives
2002,East Asia,Explosives
2003,East Asia,Firearms
2003,East Asia,Explosives
2003,East Asia,Explosives
2003,East Asia,Explosives
2003,East Asia,Explosives
2003,East Asia,Incendiary
2004,East Asia,Explosives
2004,East Asia,Firearms
2004,East Asia,Explosives
2004,East Asia,Explosives
2005,East Asia,Explosives
2005,East Asia,Explosives
2006,East Asia,Melee
2008,East Asia,Firearms
2008,East Asia,Explosives
2008,East Asia,Explosives
2008,East Asia,Explosives
2008,East Asia,Explosives
2008,East Asia,Incendiary
2008,East Asia,Explosives
2008,East Asia,Incendiary
2008,East Asia,Explosives
2008,East Asia,Explosives
2008,East Asia,Explosives
2008,East Asia,Explosives
2008,East Asia,Melee
2008,East Asia,Explosives
2008,East Asia,Explosives
2008,East Asia,Melee
2008,East Asia,Explosives
2008,East Asia,Explosives
2008,East Asia,Explosives
2008,East Asia,Melee
2008,East Asia,Explosives
2008,East Asia,Explosives
2008,East Asia,Explosives
2008,East Asia,Explosives
2008,East Asia,Chemical
2009,East Asia,Incendiary
2009,East Asia,Explosives
2009,East Asia,Firearms
2009,East Asia,Explosives
2009,East Asia,Chemical
2009,East Asia,Chemical
2009,East Asia,Melee
2009,East Asia,Melee
2010,East Asia,Explosives
2011,East Asia,Explosives
2011,East Asia,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)"
2011,East Asia,Melee
2011,East Asia,Explosives
2012,East Asia,Melee
2012,East Asia,Explosives
2012,East Asia,Explosives
2012,East Asia,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)"
2001,Eastern Europe,Explosives
2001,Eastern Europe,Firearms
2001,Eastern Europe,Explosives
2001,Eastern Europe,Firearms
2001,Eastern Europe,Explosives
2001,Eastern Europe,Firearms
2001,Eastern Europe,Explosives
2001,Eastern Europe,Unknown
2001,Eastern Europe,Explosives
2001,Eastern Europe,Explosives
2001,Eastern Europe,Explosives
2001,Eastern Europe,Explosives
2001,Eastern Europe,Explosives
2001,Eastern Europe,Explosives
2001,Eastern Europe,Firearms
2001,Eastern Europe,Explosives
2001,Eastern Europe,Firearms
2001,Eastern Europe,Firearms
2001,Eastern Europe,Firearms
2001,Eastern Europe,Explosives
2001,Eastern Europe,Firearms
2001,Eastern Europe,Explosives
2001,Eastern Europe,Explosives
2001,Eastern Europe,Explosives
2001,Eastern Europe,Explosives
2001,Eastern Europe,Explosives
2001,Eastern Europe,Explosives
2001,Eastern Europe,Explosives
2001,Eastern Europe,Explosives
2001,Eastern Europe,Firearms
2001,Eastern Europe,Firearms
2001,Eastern Europe,Explosives
2001,Eastern Europe,Incendiary
2001,Eastern Europe,Firearms
2001,Eastern Europe,Firearms
2001,Eastern Europe,Firearms
2001,Eastern Europe,Explosives
2001,Eastern Europe,Firearms
2001,Eastern Europe,Explosives
2001,Eastern Europe,Explosives
2001,Eastern Europe,Firearms
2001,Eastern Europe,Explosives
2001,Eastern Europe,Explosives
2001,Eastern Europe,Explosives
2001,Eastern Europe,Explosives
2001,Eastern Europe,Firearms
2001,Eastern Europe,Explosives
2001,Eastern Europe,Firearms
2001,Eastern Europe,Explosives
2001,Eastern Europe,Explosives
2001,Eastern Europe,Explosives
2001,Eastern Europe,Firearms
2001,Eastern Europe,Explosives
2001,Eastern Europe,Unknown
2001,Eastern Europe,Explosives
2001,Eastern Europe,Explosives
2001,Eastern Europe,Unknown
2001,Eastern Europe,Firearms
2001,Eastern Europe,Melee
2001,Eastern Europe,Explosives
2001,Eastern Europe,Explosives
2001,Eastern Europe,Explosives
2001,Eastern Europe,Explosives
2001,Eastern Europe,Explosives
2001,Eastern Europe,Firearms
2001,Eastern Europe,Explosives
2001,Eastern Europe,Firearms
2001,Eastern Europe,Explosives
2001,Eastern Europe,Firearms
2001,Eastern Europe,Explosives
2001,Eastern Europe,Incendiary
2001,Eastern Europe,Explosives
2001,Eastern Europe,Explosives
2001,Eastern Europe,Explosives
2001,Eastern Europe,Firearms
2001,Eastern Europe,Firearms
2001,Eastern Europe,Explosives
2001,Eastern Europe,Explosives
2001,Eastern Europe,Explosives
2001,Eastern Europe,Unknown
2001,Eastern Europe,Explosives
2001,Eastern Europe,Firearms
2001,Eastern Europe,Firearms
2001,Eastern Europe,Explosives
2001,Eastern Europe,Firearms
2001,Eastern Europe,Firearms
2001,Eastern Europe,Explosives
2001,Eastern Europe,Explosives
2001,Eastern Europe,Explosives
2001,Eastern Europe,Firearms
2001,Eastern Europe,Explosives
2001,Eastern Europe,Explosives
2001,Eastern Europe,Firearms
2001,Eastern Europe,Firearms
2001,Eastern Europe,Explosives
2001,Eastern Europe,Explosives
2001,Eastern Europe,Firearms
2001,Eastern Europe,Explosives
2001,Eastern Europe,Explosives
2001,Eastern Europe,Firearms
2001,Eastern Europe,Firearms
2001,Eastern Europe,Firearms
2001,Eastern Europe,Unknown
2001,Eastern Europe,Unknown
2001,Eastern Europe,Unknown
2001,Eastern Europe,Unknown
2001,Eastern Europe,Unknown
2001,Eastern Europe,Explosives
2001,Eastern Europe,Firearms
2001,Eastern Europe,Explosives
2001,Eastern Europe,Firearms
2001,Eastern Europe,Explosives
2001,Eastern Europe,Explosives
2001,Eastern Europe,Firearms
2001,Eastern Europe,Explosives
2001,Eastern Europe,Firearms
2001,Eastern Europe,Unknown
2001,Eastern Europe,Firearms
2001,Eastern Europe,Melee
2001,Eastern Europe,Firearms
2001,Eastern Europe,Explosives
2001,Eastern Europe,Firearms
2001,Eastern Europe,Explosives
2001,Eastern Europe,Firearms
2001,Eastern Europe,Unknown
2001,Eastern Europe,Firearms
2001,Eastern Europe,Melee
2001,Eastern Europe,Firearms
2001,Eastern Europe,Explosives
2001,Eastern Europe,Firearms
2001,Eastern Europe,Explosives
2001,Eastern Europe,Firearms
2001,Eastern Europe,Firearms
2001,Eastern Europe,Explosives
2001,Eastern Europe,Firearms
2001,Eastern Europe,Explosives
2001,Eastern Europe,Explosives
2001,Eastern Europe,Firearms
2001,Eastern Europe,Explosives
2001,Eastern Europe,Incendiary
2001,Eastern Europe,Firearms
2001,Eastern Europe,Firearms
2001,Eastern Europe,Firearms
2001,Eastern Europe,Firearms
2001,Eastern Europe,Explosives
2001,Eastern Europe,Explosives
2001,Eastern Europe,Explosives
2001,Eastern Europe,Explosives
2001,Eastern Europe,Firearms
2001,Eastern Europe,Firearms
2001,Eastern Europe,Explosives
2001,Eastern Europe,Incendiary
2001,Eastern Europe,Melee
2001,Eastern Europe,Firearms
2001,Eastern Europe,Explosives
2001,Eastern Europe,Firearms
2001,Eastern Europe,Firearms
2001,Eastern Europe,Other
2001,Eastern Europe,Explosives
2001,Eastern Europe,Explosives
2001,Eastern Europe,Explosives
2001,Eastern Europe,Explosives
2001,Eastern Europe,Explosives
2001,Eastern Europe,Firearms
2001,Eastern Europe,Firearms
2001,Eastern Europe,Firearms
2001,Eastern Europe,Explosives
2001,Eastern Europe,Firearms
2001,Eastern Europe,Explosives
2001,Eastern Europe,Unknown
2001,Eastern Europe,Explosives
2001,Eastern Europe,Firearms
2001,Eastern Europe,Firearms
2001,Eastern Europe,Firearms
2001,Eastern Europe,Explosives
2001,Eastern Europe,Explosives
2001,Eastern Europe,Explosives
2001,Eastern Europe,Explosives
2001,Eastern Europe,Explosives
2001,Eastern Europe,Explosives
2001,Eastern Europe,Explosives
2001,Eastern Europe,Explosives
2001,Eastern Europe,Explosives
2001,Eastern Europe,Explosives
2001,Eastern Europe,Unknown
2001,Eastern Europe,Unknown
2001,Eastern Europe,Explosives
2001,Eastern Europe,Firearms
2001,Eastern Europe,Firearms
2001,Eastern Europe,Firearms
2001,Eastern Europe,Explosives
2001,Eastern Europe,Firearms
2001,Eastern Europe,Explosives
2001,Eastern Europe,Firearms
2001,Eastern Europe,Firearms
2001,Eastern Europe,Firearms
2001,Eastern Europe,Firearms
2001,Eastern Europe,Explosives
2001,Eastern Europe,Explosives
2001,Eastern Europe,Unknown
2001,Eastern Europe,Firearms
2001,Eastern Europe,Unknown
2001,Eastern Europe,Explosives
2001,Eastern Europe,Explosives
2001,Eastern Europe,Explosives
2001,Eastern Europe,Explosives
2001,Eastern Europe,Explosives
2001,Eastern Europe,Firearms
2001,Eastern Europe,Firearms
2001,Eastern Europe,Firearms
2001,Eastern Europe,Incendiary
2001,Eastern Europe,Firearms
